Original Item?,Communities,Priority,Project Type,Title,Creation Date,Modified Date
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Agriculture,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Archeology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Architecture,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Art,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Astronomy,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Biology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Business,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Chemistry,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Civil Engineering,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Community Building,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",CommunicationMedia,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Computer Science,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Design,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Economics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Education,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Electrical Engineering,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Environmental Science,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Ethnology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Equitable Development,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Future Building,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",History,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Information Science,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",LanguagesLinguistics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Law,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Literature,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Mathematics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Mechanical Engineering,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",MedicineHealth,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Music,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Performing Arts,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Philosophy,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Physics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Politics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Psychology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Sociology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Sustainability,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Technology Development,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Theology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Urban Development,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Visual Arts,2023-08-22 14:33:00,2025-02-13 16:27:00
,Adjacent,False,,Cooking,2023-10-21 18:30:00,2025-02-11 08:34:00
,Adjacent,False,,Restaurants,2023-10-21 18:30:00,2025-02-11 08:34:00
,Adjacent,False,,World Peace,2023-10-21 18:30:00,2025-02-11 08:34:00
,Adjacent,True,,Food,2023-10-21 18:42:00,2025-02-11 08:34:00
,Adjacent,True,,Data Science,2023-11-21 14:53:00,2025-02-11 08:34:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Medicine,2023-12-06 15:22:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Physiology,2023-12-06 18:43:00,2025-02-13 16:27:00
,Adjacent,False,,Online Rental,2024-02-07 11:41:00,2025-02-11 08:34:00
,Adjacent,False,,Psychedelictherapy,2024-02-11 00:59:00,2025-02-11 08:34:00
,Adjacent,False,,Therapy,2024-02-11 01:00:00,2025-02-11 08:34:00
,Adjacent,False,,Fintech ,2024-02-23 10:12:00,2025-02-11 08:34:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Finance,2024-03-01 08:49:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Retail,2024-03-01 08:51:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Science,2024-03-01 08:51:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",User Experience,2024-03-01 08:51:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Video Production,2024-03-01 08:52:00,2025-02-13 16:27:00
,Adjacent,True,,Marketing,2024-03-08 22:23:00,2025-02-11 08:34:00
,Adjacent,True,,AiMl,2024-03-08 22:23:00,2025-02-11 08:34:00
,Adjacent,False,,MakeUp ,2024-03-14 13:48:00,2025-02-11 08:34:00
,Adjacent,False,,Art  Music,2024-05-02 18:39:00,2025-02-11 08:34:00
,Adjacent,False,,Software ,2024-05-19 13:24:00,2025-02-11 08:34:00
,Adjacent,False,,Python ,2024-05-19 13:25:00,2025-02-11 08:34:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Health,2024-05-31 08:45:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Mobility,2024-05-31 08:45:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Tech,2024-05-31 08:51:00,2025-02-13 16:27:00
,Adjacent,False,,Outsourcing,2024-06-08 22:18:00,2025-02-11 08:34:00
,Adjacent,False,,Offshoring,2024-06-08 22:18:00,2025-02-11 08:34:00
,Adjacent,False,,Business Development,2024-06-08 22:19:00,2025-02-11 08:34:00
,Adjacent,False,,Unions,2024-11-11 10:44:00,2025-02-11 08:34:00
,Adjacent,False,,Work Management,2024-12-12 00:46:00,2025-02-11 08:34:00
,Adjacent,False,,Productivity ,2024-12-12 00:47:00,2025-02-11 08:34:00
,Adjacent,False,,Finyech,2024-12-18 09:45:00,2025-02-11 08:34:00
,Adjacent,False,,Fashion,2024-12-18 09:50:00,2025-02-11 08:34:00
,Adjacent,False,,FB,2024-12-18 09:50:00,2025-02-11 08:34:00
,Adjacent,False,,Startups,2024-12-18 09:50:00,2025-02-11 08:34:00
,Adjacent,False,,Fintech,2024-12-18 09:50:00,2025-02-11 08:34:00
,Adjacent,False,,Crypto,2024-12-18 09:51:00,2025-02-11 08:34:00
,1517 Founders,False,Business/Start-up,Investment,2025-01-16 11:41:00,2025-02-11 08:42:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,3D Printing,2025-02-11 07:57:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Advanced Materials,2025-02-11 07:57:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Agritech,2025-02-11 07:57:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Artificial Intelligence,2025-02-11 07:57:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Autonomous Vehicles,2025-02-11 07:57:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Biomanufacturing,2025-02-11 07:58:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Carbon Capture,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Consumer Robotics,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Cybersecurity,2025-02-11 07:58:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Diagnostics,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Energy Storage,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Food Tech,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Geothermal Technology,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Hydrogen Storage,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Industrial Automation,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Nanotechnology,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Medtech,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Personalized Medicine,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Pharmaceuticals,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Recycling Technologies,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Software,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Solar Technology,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Renewable Energy,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Space Technology,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Sustainable Agriculture,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Synthetic Biology,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Quantum Computing ,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Wearable Devices,2025-02-11 07:58:00,2025-02-13 16:28:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,Deep Tech,Wind Technology,2025-02-11 07:58:00,2025-02-13 16:28:00
